county_desc,population
ALAMANCE,166436
ALEXANDER,37353
ALLEGHANY,11161
ANSON,24877
ASHE,27109
AVERY,17505
BEAUFORT,47079
BERTIE,19026
BLADEN,33190
BRUNSWICK,136744
BUNCOMBE,259103
BURKE,90382
CABARRUS,211342
CALDWELL,82029
CAMDEN,10710
CARTERET,69524
CASWELL,22698
CATAWBA,158652
CHATHAM,73139
CHEROKEE,28383
CHOWAN,14029
CLAY,11139
CLEVELAND,97645
COLUMBUS,55655
CRAVEN,102912
CUMBERLAND,332330
CURRITUCK,27072
DARE,36501
DAVIDSON,166614
DAVIE,42733
DUPLIN,58856
DURHAM,316739
EDGECOMBE,52005
FORSYTH,379099
FRANKLIN,67560
GASTON,222846
GATES,11573
GRAHAM,8484
GRANVILLE,60115
GREENE,21012
GUILFORD,533670
HALIFAX,50574
HARNETT,134214
HAYWOOD,61971
HENDERSON,116748
HERTFORD,23659
HOKE,54764
HYDE,5230
IREDELL,178435
JACKSON,43327
JOHNSTON,202675
JONES,9637
LEE,61452
LENOIR,55976
LINCOLN,83770
MACON,35285
MADISON,21763
MARTIN,22671
MCDOWELL,45507
MECKLENBURG,1093901
MITCHELL,15000
MONTGOMERY,27271
MOORE,98682
NASH,94016
NEW HANOVER,232274
NORTHAMPTON,19676
ONSLOW,197683
ORANGE,146027
PAMLICO,12670
PASQUOTANK,39639
PENDER,62162
PERQUIMANS,13422
PERSON,39507
PITT,179914
POLK,20611
RANDOLPH,143351
RICHMOND,44887
ROBESON,131831
ROCKINGHAM,90690
ROWAN,141262
RUTHERFORD,66826
SAMPSON,63626
SCOTLAND,34810
STANLY,62075
STOKES,45467
SURRY,71948
SWAIN,14245
TRANSYLVANIA,34215
TYRRELL,4131
UNION,235908
VANCE,44582
WAKE,1092305
WARREN,19807
WASHINGTON,11859
WATAUGA,55945
WAYNE,123248
WILKES,68557
WILSON,81455
YADKIN,37543
YANCEY,17903